Height,Color,Season,Moisture,Spread,Traffic
2,4,1,1,85,0
0,4,1,1,27,0
1,4,2,2,52,0
3,2,1,1,105,0
2,2,1,1,52,0
0,5,1,2,52,0
0,3,1,2,45,0
1,5,1,2,67,0
1,5,1,2,17,0
0,2,0,3,37,0
2,0,1,2,70,0
2,0,1,2,95,0
1,0,1,2,37,0
0,5,1,3,52,0
0,5,1,0,12,1
2,2,1,0,67,0
2,5,1,2,52,0
1,2,1,0,42,0
0,2,0,0,27,0
4,0,1,1,82,0
0,0,1,2,52,1
0,0,1,1,27,0
2,2,1,3,105,0
0,0,1,2,35,1
4,2,1,2,95,0
0,0,1,2,17,1
0,2,1,2,37,0
0,5,1,1,45,1
0,2,1,2,30,0
1,2,1,1,37,0
3,5,1,0,52,0
0,0,1,0,45,0
1,0,1,0,32,0
0,4,0,0,25,0
3,2,1,3,52,0
1,3,1,0,37,0
1,2,1,2,42,0
0,1,0,0,15,0
3,5,1,2,82,0
3,5,1,2,75,0
0,5,1,0,17,0
1,0,1,1,37,0
1,1,1,1,37,0
0,0,1,3,27,0
3,0,1,2,82,0
2,4,1,1,45,0
3,0,1,2,60,0
0,2,1,0,45,2
4,5,1,2,52,0
1,5,1,2,132,0
0,1,0,2,37,0
1,5,1,2,32,0
0,0,1,0,35,1
1,5,1,2,57,0
1,5,1,2,85,0
1,2,0,2,50,0
0,5,1,0,45,1
1,4,1,1,37,0
0,2,1,0,52,1
2,5,1,2,110,0
2,2,1,0,50,0
1,2,1,0,27,0
4,1,1,1,52,0
0,2,1,0,67,1
2,1,1,1,45,0
0,2,1,0,17,1
0,2,0,0,37,0
2,0,1,1,82,0
0,4,1,2,75,2
4,2,1,2,37,0
1,0,1,3,25,0
1,5,1,0,37,0
3,4,1,2,82,0
0,4,1,2,35,0
1,1,0,0,52,0
0,0,0,2,32,0
2,2,1,3,67,0
2,0,1,0,45,0
2,0,1,0,27,0
1,0,1,0,35,0
0,5,1,2,75,1
1,2,1,2,27,0
0,2,1,1,27,0
4,0,2,2,82,0
0,5,0,0,42,1
2,4,1,2,67,0
3,0,1,1,45,0
3,5,1,2,72,0
1,4,1,2,0,0
1,0,1,1,42,0
4,0,1,2,85,0
1,1,1,0,47,0
0,4,1,1,25,0
0,4,0,2,42,0
